experiment,frequency,shell,threads,utility,op1,op2,sysfs-powercap-rapl,perf-ipc,perf-freq,ipc-estimate,metricq
6,0,0,40,1,0,0,330.425270,3.670847,0.792305,0.000000,1025.780000
4,0,0,48,1,0,0,282.873628,2.118989,0.792379,0.000000,974.320000
5,0,0,48,1,0,0,294.379843,3.839421,0.792794,0.000000,986.420000
8,0,0,48,1,0,0,309.088917,2.943600,0.792993,0.000000,1001.640000
14,0,0,48,1,0,0,313.986246,3.673716,0.793108,0.000000,1008.060000
13,0,0,48,1,0,0,323.577793,3.143724,0.793223,0.000000,1018.360000
3,0,0,48,1,0,0,275.238132,2.105803,0.792735,0.000000,966.000000
9,0,0,48,1,0,0,278.165901,2.052148,0.792765,0.000000,966.980000
11,0,0,48,1,0,0,270.965469,0.064456,0.792680,0.000000,960.400000
6,0,0,48,1,0,0,341.148682,3.667416,0.792312,0.000000,1037.920000
4,0,0,56,1,0,0,286.577317,2.118717,0.792363,0.000000,976.660000
5,0,0,56,1,0,0,298.123977,3.839302,0.792762,0.000000,991.560000
8,0,0,56,1,0,0,316.204355,2.943343,0.793106,0.000000,1010.620000
14,0,0,56,1,0,0,320.683729,3.673896,0.793135,0.000000,1015.960000
13,0,0,56,1,0,0,335.050023,3.148110,0.793417,0.000000,1030.860000
3,0,0,56,1,0,0,278.364777,2.105881,0.792800,0.000000,967.720000
9,0,0,56,1,0,0,278.848938,2.052248,0.792670,0.000000,968.560000
11,0,0,56,1,0,0,270.974641,0.064456,0.792781,0.000000,960.560000
6,0,0,56,1,0,0,350.761976,3.659927,0.791916,0.000000,1050.580000
4,0,0,64,1,0,0,286.422614,2.115429,0.791831,0.000000,978.620000
5,0,0,64,1,0,0,301.632872,3.838892,0.792589,0.000000,995.360000
8,0,0,64,1,0,0,321.369410,2.943400,0.793148,0.000000,1017.520000
14,0,0,64,1,0,0,326.690010,3.676131,0.793130,0.000000,1024.340000
13,0,0,64,1,0,0,342.893264,3.148570,0.793401,0.000000,1040.700000
3,0,0,64,1,0,0,278.406519,2.105857,0.792538,0.000000,968.580000
9,0,0,64,1,0,0,278.937971,2.052254,0.792374,0.000000,969.560000
11,0,0,64,1,0,0,271.113430,0.064456,0.792483,0.000000,960.460000
6,0,0,64,1,0,0,361.805752,3.662915,0.792086,0.000000,1064.600000
4,0,0,72,1,0,0,290.362212,2.114955,0.791617,0.000000,981.020000
5,0,0,72,1,0,0,305.421022,3.840576,0.792410,0.000000,999.640000
8,0,0,72,1,0,0,327.341249,2.943366,0.793100,0.000000,1024.480000
14,0,0,72,1,0,0,333.626605,3.676130,0.793189,0.000000,1032.260000
13,0,0,72,1,0,0,350.099488,3.147467,0.793258,0.000000,1050.100000
