experiment,frequency,shell,threads,utility,op1,op2,ipc-estimate,metricq,perf-freq,perf-ipc,sysfs-powercap-rapl,sysfs-powercap-rapl/package-0,sysfs-powercap-rapl/package-0-dram,sysfs-powercap-rapl/package-1,sysfs-powercap-rapl/package-1-dram
3,0,0,42,21467,0,0,0.000000,922.959184,0.796465,2.120876,255.898963,119.219880,12.443861,112.865528,11.369747
9,0,0,42,21474,0,0,0.000000,922.244898,0.796456,2.114717,254.165818,117.570471,12.417302,112.809322,11.368677
11,0,0,42,4788,0,0,0.000000,916.918367,0.796580,0.064474,248.243381,111.688053,12.437338,112.754522,11.363490
6,0,0,42,33640861,0,0,0.000000,986.489796,0.795027,3.987662,314.083770,164.633104,25.323665,112.758245,11.368818
4,0,0,56,617799575,0,0,0.000000,940.122449,0.795922,2.659612,271.502643,134.892223,12.417931,112.820578,11.371807
5,0,0,56,163791,0,0,0.000000,959.775510,0.795728,5.458982,287.027251,150.377444,12.463585,112.849140,11.336960
8,0,0,56,830,0,0,0.000000,971.860000,0.795651,3.478320,299.539006,150.367556,24.926848,112.901022,11.343357
14,0,0,56,610,0,0,0.000000,984.080000,0.795304,4.750687,309.775522,156.274685,29.239913,112.930597,11.330412
13,0,0,56,753,0,0,0.000000,985.360000,0.795688,3.202011,312.005018,154.874965,32.838173,112.983116,11.308699
3,0,0,56,21149,0,0,0.000000,927.734694,0.796031,2.120847,260.245867,123.462936,12.512254,112.934231,11.336517
9,0,0,56,21156,0,0,0.000000,927.489796,0.795969,2.114597,260.068631,123.386457,12.438359,112.884038,11.359941
11,0,0,56,4711,0,0,0.000000,920.551020,0.795898,0.064474,252.198044,115.540605,12.458214,112.817070,11.382235
6,0,0,56,33060129,0,0,0.000000,1014.938776,0.794766,3.986440,336.477220,184.543453,27.749769,112.854092,11.329821
4,0,1,14,1615907909,0,0,0.000000,1078.520833,1.995654,2.681939,391.805332,186.941857,12.769106,180.711870,11.382515
5,0,1,14,437820,0,0,0.000000,1138.000000,1.995902,5.450291,442.015476,218.617475,12.787544,199.223339,11.387088
8,0,1,14,2139,0,0,0.000000,1151.520000,1.994398,3.341981,450.326050,222.559747,17.118096,199.261266,11.386909
14,0,1,14,1452,0,0,0.000000,1157.000000,1.992261,4.227094,457.987627,225.936399,21.351572,199.299551,11.400250
13,0,1,14,1607,0,0,0.000000,1148.580000,1.992358,2.565195,451.962294,218.744735,22.504168,199.292303,11.420964
3,0,1,14,56364,0,0,0.000000,1111.244898,1.996025,2.121332,418.404104,194.841002,12.847908,199.302085,11.413125
9,0,1,14,56275,0,0,0.000000,1112.122449,1.996019,2.113423,419.708390,196.179382,12.831691,199.293060,11.404188
11,0,1,14,12552,0,0,0.000000,1104.693878,1.996047,0.064479,414.205954,190.656935,12.842663,199.293695,11.412607
6,0,1,14,83635057,0,0,0.000000,1186.571429,1.989075,3.742364,481.276491,249.590051,20.936491,199.317976,11.431944
4,0,1,28,1637040753,0,0,0.000000,1147.183673,1.996440,2.677764,447.961590,224.430226,12.824912,199.292716,11.413761
5,0,1,28,433966,0,0,0.000000,1178.836735,1.996400,5.452655,474.065440,250.629731,12.720787,199.290196,11.424610
8,0,1,28,2126,0,0,0.000000,1201.800000,1.995414,3.349565,495.558990,259.300003,25.537620,199.319292,11.402083
14,0,1,28,1447,0,0,0.000000,1211.660000,1.993853,4.230708,503.252085,262.866977,29.685612,199.290570,11.409040
